,Abbreviation,city,name,Latitude,Longitude,negativeLongitude,IATA,2015,2016,2017,2018
1,ATL,Atlanta, Hawks,33.7573,-84.3963,84.3963,ATL,60,48,43,24
2,BKN,Brooklyn, Nets,40.6828,-73.6758,73.9758,BKN,38,21,20,28
3,BOS,Boston, Celtics,42.3662,-71.0621,71.0621,BOS,40,48,53,55
4,CHA,Charlotte, Hornets,35.2251,-80.8392,80.8392,CHA,33,48,36,36
5,CHI,Chicago, Bulls,41.8807,-87.6742,87.6742,CHI,50,42,41,27
6,CLE,Cleveland, Cavaliers,41.4965,-81.6882,81.6882,CLE,53,57,51,50
7,DAL,Dallas, Mavericks,32.7905,-96.8104,96.8104,DAL,50,42,33,24
8,DEN,Denver, Nuggets,39.7487,-105.0077,105.0077,DEN,30,33,40,46
9,DET,Detroit, Pistons,42.341,-83.0552,83.0552,DET,32,44,37,39
10,GSW,Golden State, Warriors,37.7503,-122.203,122.203,GSW,67,73,67,58
11,HOU,Houston, Rockets,29.7508,-95.3621,95.3621,HOU,56,41,55,65
12,IND,Indiana, Pacers,39.7639,-86.1555,86.1555,IND,38,45,42,48
13,LAC,Los Angeles, Clippers,34.043,-118.4673,119.2673,LAC,56,53,51,42
14,LAL,Los Angeles, Lakers,34.043,-118.2673,118.2673,LAL,21,17,26,35
15,MEM,Memphis, Grizzlies,35.1382,-90.0505,90.0505,MEM,55,42,43,22
16,MIA,Miami, Heat,25.7814,-80.187,80.187,MIA,37,48,41,44
17,MIL,Milwaukee, Bucks,43.0437,-87.9171,87.9171,MIL,41,33,42,44
18,MIN,Minnesota, Timberwolves,44.9795,-93.2762,93.2762,MIN,16,29,31,47
19,NOP,New Orleans, Pelicans,29.949,-90.0821,90.0821,NOP,45,30,34,48
20,NYK,New York, Knicks,40.7505,-74.0934,73.9934,NYK,17,32,31,29
21,OKC,Oklahoma City, Thunder,35.4634,-97.5151,97.5151,OKC,45,55,47,48
22,ORL,Orlando, Magic,28.5399,-81.3837,81.3837,ORL,25,35,29,25
23,PHI,Philadelphia, 76ers,39.9012,-75.172,75.172,PHI,18,10,28,52
24,PHX,Phoenix, Suns,33.4457,-112.0712,112.0712,PHX,39,23,24,21
25,POR,Portland, Trail Blazers,45.5316,-122.6668,122.6668,POR,51,44,41,49
26,SAC,Sacramento, Kings,38.5806,-121.4996,121.4996,SAC,29,33,32,27
27,SAS,San Antonio, Spurs,29.4271,-98.4375,98.4375,SAS,55,67,61,47
28,TOR,Toronto, Raptors,43.6435,-79.3791,79.3791,TOR,49,56,51,59
29,UTA,Utah, Jazz,40.7683,-111.9011,111.9011,UTA,38,40,51,48
30,WAS,Washington, Wizards,38.8981,-77.0209,77.0209,WAS,46,41,49,43